Term,Market Rate,Shift,Shifted Rate,Zero Rate,Discount
3 MO,0.24975,0,0.24975,0.24975,0.999362
EDU11   ,0.41436,0,0.41436,0.35339,0.99851
EDZ11   ,0.52789,0,0.52789,0.42058,0.99718
EDH12   ,0.57079,0,0.57079,0.46452,0.995743
EDM12   ,0.61305,0,0.61305,0.49901,0.994202
EDU12   ,0.6897,0,0.6897,0.53411,0.992472
EDZ12   ,0.82575,0,0.82575,0.57836,0.990405
2 YR,0.651,0,0.651,0.65176,0.98707
3 YR,0.98,0,0.98,0.98414,0.970925
4 YR,1.383,0,1.383,1.39613,0.945832
5 YR,1.784,0,1.784,1.81273,0.913723
6 YR,2.14,0,2.14,2.18932,0.877529
7 YR,2.436,0,2.436,2.50809,0.839898
8 YR,2.6815,0,2.6815,2.77714,0.802003
9 YR,2.8783,0,2.8783,2.99596,0.765122
10 YR,3.044,0,3.044,3.1832,0.729195
11 YR,3.189,0,3.189,3.34995,0.69389
12 YR,3.309,0,3.309,3.48958,0.660249
15 YR,3.567,0,3.567,3.79584,0.568846
20 YR,3.765,0,3.765,4.02607,0.450482
25 YR,3.8598,0,3.8598,4.13075,0.359732
30 YR,3.9124,0,3.9124,4.18469,0.288675
40 YR,3.9275,0,3.9275,4.14485,0.193787
50 YR,3.889,0,3.889,3.99354,0.13847
